HDI Rank (2018),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,12.4,18.1,20.8,25.7,29.2,30.1,31.2,32.3,33.4,34.4,35.4,36.3,37.2
69,Albania,3.3,3.1,3.1,3.1,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
82,Algeria,25.8,28.8,31,33.1,36,36.7,37.4,38.1,38.9,39.7,40.6,41.4,42.2
36,Andorra,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
149,Angola,11.8,13.9,16.4,19.4,23.4,24.2,25.1,26,26.9,27.9,28.8,29.8,30.8
74,Antigua and Barbuda,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
48,Argentina,32.6,34.8,36.9,38.9,40.9,41.3,41.8,42.2,42.6,43.1,43.5,43.9,44.4
81,Armenia,3.5,3.2,3.1,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3
6,Australia,17,18,19,20.2,22.2,22.5,22.9,23.3,23.6,23.9,24.3,24.6,24.9
20,Austria,7.7,8,8.1,8.3,8.4,8.5,8.5,8.6,8.6,8.7,8.7,8.8,8.9
87,Azerbaijan,7.2,7.8,8.1,8.5,9,9.1,9.3,9.4,9.5,9.6,9.7,9.8,9.9
60,Bahamas,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
45,Bahrain,0.5,0.6,0.7,0.9,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.6
135,Bangladesh,103.2,115.2,127.7,139,147.6,149.3,151,152.8,154.5,156.3,158,159.7,161.4
56,Barbados,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
50,Belarus,10.2,10.1,9.9,9.6,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.5
17,Belgium,10,10.2,10.3,10.5,10.9,11,11.1,11.2,11.2,11.3,11.4,11.4,11.5
