HDI Rank (2018),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
176,Liberia,,,74,,,,,,158,156,157,,
18,Liechtenstein,,,,,104,95,99,,106,104,103,,
34,Lithuania,62,34,57,65,79,79,80,82,85,86,87,,
21,Luxembourg,91,103,78,87,89,89,92,93,94,93,93,,
162,Madagascar,,4,3,7,9,,,12,14,18,29,38,
172,Malawi,,,,,,,,,,81,,,
61,Malaysia,35,45,52,62,80,,84,88,91,94,94,97,
104,Maldives,,66,60,75,,,,,,108,99,91,
184,Mali,,1,2,3,3,3,,4,4,4,4,5,
28,Malta,101,103,99,93,111,114,117,111,108,111,112,,
117,Marshall Islands,,,,,,48,,,,40,40,,
161,Mauritania,,,,,,,,,,10,,,
66,Mauritius,54,76,91,101,105,106,106,105,103,105,105,101,
76,Mexico,60,67,72,86,100,101,103,70,70,71,71,72,
135,Micronesia (Federated States of),,,,,,,,,,33,,,
107,Moldova (Republic of),72,50,42,66,76,77,80,82,84,84,85,86,
92,Mongolia,37,23,29,46,79,84,86,78,79,80,84,87,
52,Montenegro,,,,31,31,54,60,,,55,56,62,
121,Morocco,57,60,61,58,54,,55,54,58,57,50,54,
145,Myanmar,,,,,8,,,,,,,10,
130,Namibia,14,,,,,,16,22,,,,33,
,Nauru,,,74,101,,,69,,,,69,,
147,Nepal,,,12,36,72,78,83,84,85,85,84,86,
10,Netherlands,97,100,,,,90,90,93,94,94,95,,
14,New Zealand,,,,,,,,,91,92,92,95,
126,Nicaragua,12,18,31,41,58,,,,,,,,
189,Niger,1,1,1,1,4,5,6,7,7,7,8,8,
158,Nigeria,,,,44,42,,,,,,,,
82,North Macedonia,,24,29,32,24,25,29,31,34,36,,,
1,Norway,61,73,76,88,99,99,99,99,98,97,96,95,
47,Oman,3,4,,,,56,53,52,57,58,57,54,
152,Pakistan,,,66,51,,,78,78,70,72,72,80,
55,Palau,,,,,,,,86,75,,,,
119,"Palestine, State of",,21,34,32,40,41,41,46,51,52,54,54,
67,Panama,51,66,43,60,65,63,66,46,47,50,61,,
155,Papua New Guinea,0,1,,,,,,,,,44,,
98,Paraguay,9,16,32,36,40,39,38,,,,45,,
82,Peru,29,35,59,64,79,77,78,85,88,89,89,89,91
106,Philippines,19,29,25,37,,,,,,100,96,,
32,Poland,49,45,47,54,69,73,77,77,80,75,70,,
40,Portugal,34,57,72,80,87,90,90,90,91,93,93,,
41,Qatar,19,23,28,39,,56,,53,56,59,60,61,
52,Romania,60,52,69,73,79,80,80,92,90,90,87,,
49,Russian Federation,76,62,61,69,,75,77,80,84,87,89,,
157,Rwanda,,,,,11,12,14,15,16,18,18,21,
89,Saint Lucia,65,68,64,72,73,75,79,78,85,76,82,82,
94,Saint Vincent and the Grenadines,,,,,,,,78,69,93,99,103,
111,Samoa,,24,52,,35,39,34,,37,41,41,51,
,San Marino,,,,,93,108,107,,,,,,
137,Sao Tome and Principe,25,,,28,38,50,49,45,40,49,51,,
36,Saudi Arabia,,,,11,11,12,14,14,18,19,,21,
166,Senegal,2,,3,8,13,13,14,15,15,15,16,16,
63,Serbia,,,51,56,53,56,57,58,59,58,59,61,
62,Seychelles,100,101,100,100,107,105,107,102,104,102,103,100,
181,Sierra Leone,,,4,,,6,8,8,,9,12,12,
36,Slovakia,,73,81,97,91,90,91,92,92,93,93,,
24,Slovenia,62,59,77,78,89,91,94,93,92,92,92,,
153,Solomon Islands,34,41,35,,102,101,94,93,97,99,106,111,
113,South Africa,,,32,43,73,72,77,77,80,26,25,,
186,South Sudan,,,,,,6,,,,10,,,
25,Spain,73,91,,,,,,98,97,96,95,,
71,Sri Lanka,,,,,90,91,95,95,94,93,94,101,
168,Sudan,,,,22,32,36,38,43,43,45,45,47,
98,Suriname,83,,,81,78,79,88,93,92,91,94,95,
8,Sweden,64,67,74,94,95,95,95,95,96,94,94,,
2,Switzerland,90,97,92,98,99,100,99,103,105,105,105,,
154,Syrian Arab Republic,7,7,9,10,10,11,11,6,,,,,
125,Tajikistan,,15,7,9,8,9,9,10,10,10,11,10,
159,Tanzania (United Republic of),,,,26,32,34,34,32,32,32,45,42,
77,Thailand,42,68,,,,,,,71,68,72,74,
131,Timor-Leste,,,,9,,,,11,14,16,16,18,
167,Togo,3,2,2,,7,9,11,14,15,17,,21,
105,Tonga,,,,,,,36,,39,42,,,
63,Trinidad and Tobago,8,,60,88,,,,,,,,,
91,Tunisia,7,,16,,,,,41,43,44,44,,
59,Turkey,4,6,7,11,25,29,30,28,27,29,30,,
108,Turkmenistan,,,,,,,,,58,,,,
,Tuvalu,,,,91,,,,,116,117,107,,
159,Uganda,,,,,13,,9,11,10,11,13,14,
88,Ukraine,67,,52,83,99,100,101,84,,,,,
35,United Arab Emirates,57,60,60,80,87,87,83,84,91,83,82,,
15,United Kingdom,50,,80,71,82,85,84,79,90,96,111,,
15,United States,61,69,,,70,70,71,72,73,72,72,,
57,Uruguay,43,42,63,87,89,,,88,88,90,91,,
108,Uzbekistan,57,41,24,27,26,25,24,24,24,25,25,27,
141,Vanuatu,,,,114,94,,,97,,102,,,
