"Government expenditure on education (% of GDP)"
"165","Côte d'Ivoire","..","","4.3","","3.7","","4.1","","4.6","","4.1","","4.6","","4.7","","4.6","","4.8","","4.9","","4.4","","..",""
"11","Denmark","..","","7.5","","8.1","","8.1","","8.6","","8.5","","7.2","","8.5","","7.6","","..","","..","","..","","..",""
"171","Djibouti","..","","..","","9.7","","8.4","","4.5","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.4","","..","","..","","..",""
"89","Dominican Republic","..","","1.0","","1.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"85","Ecuador","..","","2.0","","1.2","","..","","4.5","","4.7","","4.6","","5.0","","5.3","","5.0","","..","","..","","..",""
"116","Egypt","..","","4.6","","..","","4.8","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"124","El Salvador","..","","..","","2.8","","3.2","","4.0","","3.9","","3.7","","3.8","","3.8","","4.0","","3.9","","3.8","","..",""
"30","Estonia","..","","6.1","","5.3","","4.8","","5.5","","5.0","","4.7","","4.8","","5.5","","5.2","","..","","..","","..",""
"138","Eswatini (Kingdom of)","5.5","","5.7","","5.5","","6.5","","6.1","","6.9","","..","","..","","7.1","","..","","..","","..","","..",""
"173","Ethiopia","..","","..","","4.0","","..","","4.5","","5.5","","5.6","","4.5","","4.6","","4.7","","..","","..","","..",""
"98","Fiji","..","","..","","5.9","","5.1","","..","","4.2","","..","","3.9","","..","","..","","..","","..","","..",""
"12","Finland","5.3","","6.8","","5.7","","6.0","","6.5","","6.5","","7.2","","7.2","","7.2","","7.1","","..","","..","","..",""
"26","France","4.5","","5.8","","..","","5.5","","5.7","","5.5","","5.5","","5.5","","5.5","","5.5","","..","","..","","..",""
"115","Gabon","..","","..","","3.8","","..","","3.1","","3.0","","3.0","","3.0","","2.7","","..","","..","","..","","..",""
"174","Gambia","2.8","","2.6","","1.5","","1.1","","4.2","","3.9","","4.1","","2.8","","3.3","","..","","3.1","","..","","..",""
"70","Georgia","..","","..","","2.2","","2.5","","..","","2.7","","2.0","","..","","..","","..","","3.8","","3.8","","..",""
"4","Germany","..","","4.4","","..","","..","","4.9","","4.8","","4.9","","4.9","","4.9","","4.8","","..","","..","","..",""
"142","Ghana","..","","..","","..","","7.4","","5.5","","8.1","","7.9","","6.1","","6.2","","5.9","","5.8","","4.5","","..",""
"32","Greece","2.0","","..","","3.2","","4.0","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","10.3","","..","","..",""
"126","Guatemala","..","","1.6","","..","","..","","2.8","","2.9","","3.0","","2.8","","2.9","","3.0","","2.8","","2.8","","..",""
"174","Guinea","..","","..","","2.6","","1.8","","2.6","","2.3","","1.8","","2.6","","2.4","","2.5","","2.5","","2.2","","..",""
"178","Guinea-Bissau","..","","..","","..","","..","","1.9","","1.9","","2.0","","2.1","","..","","..","","..","","..","","..",""
"123","Guyana","..","","3.6","","8.5","","8.1","","3.6","","3.6","","3.2","","..","","5.8","","5.3","","6.1","","6.3","","..",""
"169","Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.2","","2.5","","..","","..",""
"132","Honduras","..","","3.6","","..","","..","","..","","..","","..","","5.9","","7.1","","6.4","","6.3","","6.0","","..",""
"4","Hong Kong, China (SAR)","2.5","","..","","..","","4.1","","3.5","","3.4","","3.5","","3.8","","3.6","","3.3","","3.3","","3.3","","..",""
"43","Hungary","..","","4.8","","4.9","","5.3","","4.8","","4.6","","4.2","","4.2","","4.6","","4.6","","..","","..","","..",""
"6","Iceland","4.3","","4.9","","6.5","","7.4","","7.2","","7.0","","7.8","","7.7","","7.9","","7.7","","..","","..","","..",""
"129","India","..","","..","","4.4","","3.2","","3.4","","3.8","","3.9","","3.8","","..","","..","","..","","..","","..",""
"111","Indonesia","..","","1.0","","..","","2.9","","2.8","","3.2","","3.4","","3.4","","3.3","","3.6","","..","","..","","..",""
"65","Iran (Islamic Republic of)","3.8","","4.1","","4.0","","4.1","","3.7","","3.5","","3.2","","3.1","","2.8","","2.8","","3.4","","3.8","","..",""
"3","Ireland","4.6","","4.9","","4.1","","4.5","","6.0","","5.8","","5.8","","5.3","","4.9","","3.8","","..","","..","","..",""
"22","Israel","5.4","","..","","6.1","","5.8","","5.5","","5.6","","5.7","","5.9","","5.8","","5.9","","..","","..","","..",""
"29","Italy","..","","4.3","","4.3","","4.2","","4.4","","4.1","","4.1","","4.2","","4.1","","4.1","","..","","..","","..",""
"96","Jamaica","4.8","","3.4","","5.0","","4.6","","6.4","","6.3","","6.1","","6.3","","6.0","","5.5","","5.3","","5.3","","..",""
"19","Japan","..","","3.5","","..","","..","","..","","..","","3.7","","3.7","","3.6","","..","","3.5","","..","","..",""
"102","Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.9","","3.6","","..",""
"50","Kazakhstan","..","","4.0","","3.3","","2.3","","..","","..","","..","","..","","..","","2.8","","3.0","","2.9","","..",""
"147","Kenya","..","","..","","5.2","","7.3","","5.5","","5.3","","5.5","","5.4","","5.3","","5.3","","5.4","","5.2","","..",""
"132","Kiribati","..","","..","","11.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22","Korea (Republic of)","3.1","","3.0","","..","","3.9","","..","","4.9","","5.1","","5.2","","5.3","","5.3","","..","","..","","..",""
"57","Kuwait","..","","..","","..","","4.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"122","Kyrgyzstan","..","","6.2","","3.5","","4.9","","5.8","","6.8","","7.4","","6.8","","5.5","","6.0","","6.6","","7.2","","..",""
"140","Lao People's Democratic Republic","..","","..","","1.5","","2.4","","1.7","","1.7","","1.8","","3.2","","2.9","","..","","..","","..","","..",""
"39","Latvia","..","","..","","5.3","","..","","5.1","","4.9","","6.6","","7.0","","5.3","","5.3","","..","","..","","..",""
"93","Lebanon","..","","2.2","","..","","2.7","","1.6","","1.6","","2.2","","2.5","","..","","..","","..","","..","","..",""
"164","Lesotho","..","","8.6","","10.1","","12.1","","..","","..","","..","","..","","..","","..","","..","","..","","6.4",""
"176","Liberia","..","","..","","..","","..","","..","","..","","2.8","","2.7","","3.6","","4.1","","4.0","","3.8","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","2.6","","..","","..","","..","","..","","..","","..","","..",""
"34","Lithuania","..","","4.8","","..","","4.9","","5.3","","5.1","","4.8","","4.6","","4.5","","4.2","","..","","..","","..",""
"21","Luxembourg","..","","3.5","","..","","..","","..","","..","","4.1","","..","","4.0","","3.9","","..","","..","","..",""
"162","Madagascar","..","","..","","2.9","","3.8","","..","","2.8","","2.7","","2.1","","2.8","","..","","..","","..","","..",""
"172","Malawi","3.3","","4.0","","5.2","","..","","3.5","","4.2","","..","","5.4","","4.8","","5.6","","4.7","","4.0","","..",""
"61","Malaysia","..","","4.3","","6.0","","..","","5.0","","5.8","","5.7","","5.5","","5.2","","5.0","","4.8","","4.7","","..",""
"104","Maldives","..","","..","","..","","5.0","","4.1","","3.5","","3.8","","3.8","","3.5","","4.5","","4.3","","..","","..",""
"184","Mali","..","","..","","3.0","","3.5","","3.3","","3.8","","3.5","","3.3","","3.6","","3.8","","3.1","","..","","..",""
"28","Malta","3.8","","..","","..","","..","","6.5","","7.8","","6.5","","7.9","","7.2","","5.3","","..","","..","","..",""
"161","Mauritania","..","","..","","..","","..","","3.6","","3.1","","2.8","","2.9","","..","","..","","2.6","","..","","..",""
"66","Mauritius","3.2","","..","","3.8","","4.2","","3.6","","3.3","","3.4","","3.6","","4.9","","4.9","","5.0","","5.0","","..",""
"76","Mexico","2.3","","3.7","","4.0","","4.8","","5.2","","5.1","","5.1","","4.7","","5.3","","5.2","","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","6.7","","..","","..","","..","","..","","..","","..","","12.5","","..","","..","","..",""
"107","Moldova (Republic of)","..","","..","","4.5","","7.2","","9.1","","8.6","","8.3","","..","","7.5","","..","","6.7","","6.7","","..",""
"..","Monaco","..","","1.1","","1.3","","..","","1.3","","1.6","","1.8","","1.3","","1.0","","..","","1.4","","..","","..",""
"92","Mongolia","..","","..","","5.5","","..","","4.6","","4.6","","5.2","","4.9","","4.7","","4.2","","5.2","","4.1","","..",""
"121","Morocco","4.5","","4.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180","Mozambique","..","","..","","..","","4.4","","..","","..","","6.1","","6.5","","..","","..","","..","","..","","..",""
"145","Myanmar","..","","1.2","","..","","..","","..","","0.8","","..","","..","","..","","..","","..","","2.2","","..",""
"130","Namibia","..","","..","","7.0","","..","","8.3","","..","","..","","..","","3.1","","..","","..","","..","","..",""
"147","Nepal","..","","..","","3.0","","3.4","","3.6","","3.8","","3.8","","3.5","","4.0","","3.7","","4.4","","5.1","","..",""
"10","Netherlands","5.3","","4.6","","4.6","","5.2","","5.6","","5.5","","5.5","","5.6","","5.5","","5.4","","..","","..","","..",""
"14","New Zealand","..","","5.7","","..","","6.3","","7.0","","6.9","","7.2","","6.7","","6.3","","6.3","","6.3","","..","","..",""
"126","Nicaragua","..","","..","","3.0","","..","","4.5","","..","","..","","..","","4.1","","4.1","","4.1","","4.3","","..",""
"189","Niger","2.9","","2.9","","3.2","","..","","3.7","","4.2","","4.3","","4.9","","6.7","","6.0","","4.0","","3.5","","..",""
"82","North Macedonia","..","","4.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1","Norway","6.3","","7.7","","6.5","","6.9","","6.7","","6.4","","7.4","","7.5","","7.7","","7.6","","..","","..","","..",""
"47","Oman","2.8","","3.4","","3.2","","3.5","","..","","..","","..","","5.0","","..","","..","","6.1","","6.7","","..",""
"152","Pakistan","2.5","","2.8","","1.8","","2.3","","2.3","","2.2","","2.1","","2.5","","2.5","","2.6","","2.5","","2.8","","..",""
"55","Palau","..","","..","","8.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"119","Palestine, State of","..","","..","","..","","..","","6.7","","5.7","","5.1","","5.3","","..","","5.1","","5.7","","5.3","","..",""
"67","Panama","..","","3.9","","4.8","","..","","..","","3.2","","..","","..","","..","","..","","..","","..","","..",""
"98","Paraguay","1.1","","..","","4.6","","..","","3.8","","5.0","","5.0","","..","","..","","..","","4.5","","..","","..",""
"82","Peru","..","","..","","3.2","","2.8","","2.9","","2.7","","2.9","","3.3","","3.7","","4.0","","3.8","","3.9","","..",""
"106","Philippines","..","","3.0","","3.3","","2.4","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"32","Poland","..","","4.3","","5.0","","5.4","","5.1","","4.8","","4.8","","4.9","","4.9","","4.8","","..","","..","","..",""
"40","Portugal","3.6","","4.6","","5.2","","5.1","","5.4","","5.1","","4.9","","5.3","","5.1","","4.9","","..","","..","","..",""
"41","Qatar","..","","..","","3.7","","4.0","","4.5","","4.0","","3.5","","4.1","","3.6","","..","","..","","2.9","","..",""
"52","Romania","..","","..","","2.9","","3.5","","3.5","","3.0","","2.9","","..","","3.1","","3.1","","..","","..","","..",""
"49","Russian Federation","..","","..","","2.9","","3.8","","..","","..","","3.8","","..","","..","","3.8","","..","","..","","..",""
"157","Rwanda","..","","..","","4.1","","..","","4.9","","4.7","","4.6","","4.9","","4.3","","3.8","","3.5","","3.2","","..",""
"73","Saint Kitts and Nevis","..","","2.7","","4.8","","3.9","","..","","..","","..","","..","","..","","2.8","","..","","..","","..",""
"89","Saint Lucia","..","","..","","..","","5.1","","3.9","","3.9","","3.6","","4.3","","4.3","","4.4","","5.7","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","7.9","","6.4","","5.1","","..","","..","","..","","..","","..","","5.8","","5.8","","..",""
"111","Samoa","..","","..","","3.6","","..","","..","","..","","..","","..","","..","","..","","4.1","","..","","..",""
"..","San Marino","2.2","","2.3","","..","","..","","2.3","","2.4","","..","","..","","..","","..","","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","..","","5.3","","9.7","","..","","6.3","","5.9","","3.7","","3.9","","5.1","","4.9","","..",""
"36","Saudi Arabia","..","","5.7","","5.9","","5.4","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"166","Senegal","..","","..","","3.2","","5.1","","6.5","","6.1","","5.9","","7.2","","7.4","","7.1","","6.6","","6.2","","..",""
"63","Serbia","..","","..","","..","","..","","4.6","","4.5","","4.4","","..","","4.2","","4.0","","3.9","","..","","..",""
"62","Seychelles","..","","7.7","","..","","..","","..","","3.6","","2.6","","3.6","","4.1","","..","","4.4","","..","","..",""
"181","Sierra Leone","..","","..","","4.9","","2.8","","2.6","","2.7","","2.9","","2.4","","2.7","","..","","3.1","","4.6","","..",""
"9","Singapore","..","","..","","3.3","","3.2","","3.1","","3.1","","3.1","","2.9","","..","","..","","..","","..","","..",""
"36","Slovakia","..","","4.3","","3.9","","3.8","","4.1","","4.0","","3.9","","4.1","","4.2","","4.7","","..","","..","","..",""
"24","Slovenia","..","","4.9","","..","","5.6","","5.6","","5.6","","5.6","","5.4","","5.3","","4.9","","..","","..","","..",""
"153","Solomon Islands","..","","..","","..","","..","","9.9","","..","","..","","..","","..","","..","","..","","..","","..",""
"113","South Africa","5.1","","..","","5.4","","5.1","","5.7","","6.0","","6.4","","6.0","","6.0","","6.0","","5.9","","6.1","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","0.8","","..","","1.1","","1.5","","1.4","","1.5","","1.0","","..",""
"25","Spain","3.6","","4.4","","4.2","","4.1","","4.8","","4.9","","4.4","","4.3","","4.3","","4.3","","..","","..","","..",""
"71","Sri Lanka","2.4","","3.0","","..","","..","","1.7","","1.8","","1.5","","1.6","","1.9","","2.2","","3.5","","2.8","","..",""
"168","Sudan","..","","..","","1.0","","1.6","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8","Sweden","5.3","","6.2","","6.8","","6.6","","6.6","","6.5","","7.7","","7.7","","7.7","","7.6","","..","","..","","..",""
"2","Switzerland","4.5","","5.1","","4.8","","5.2","","4.9","","5.0","","5.0","","5.0","","5.1","","5.1","","5.1","","..","","..",""
"125","Tajikistan","..","","2.1","","2.3","","3.5","","4.0","","3.9","","4.0","","..","","..","","5.2","","..","","..","","..",""
"159","Tanzania (United Republic of)","2.1","","..","","..","","4.6","","4.6","","..","","..","","..","","3.5","","..","","..","","..","","..",""
"77","Thailand","..","","3.1","","5.3","","3.9","","3.5","","4.8","","4.5","","4.1","","..","","..","","..","","..","","..",""
"131","Timor-Leste","..","","..","","..","","..","","2.5","","1.9","","1.2","","1.4","","2.7","","..","","..","","..","","..",""
"167","Togo","..","","..","","4.5","","3.4","","4.4","","4.4","","4.7","","4.7","","4.9","","5.2","","5.1","","..","","..",""
"105","Tonga","..","","..","","4.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"63","Trinidad and Tobago","3.7","","3.6","","2.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"91","Tunisia","5.8","","6.4","","6.2","","6.5","","6.3","","..","","6.3","","..","","..","","6.6","","..","","..","","..",""
"59","Turkey","..","","2.3","","2.5","","..","","..","","..","","4.4","","4.4","","4.4","","4.3","","..","","..","","..",""
"108","Turkmenistan","..","","..","","..","","..","","..","","..","","3.0","","..","","..","","..","","..","","..","","..",""
"..","Tuvalu","7.6","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"159","Uganda","..","","..","","2.5","","..","","2.4","","3.0","","2.5","","2.2","","2.3","","2.8","","2.6","","2.6","","..",""
"88","Ukraine","..","","..","","4.2","","6.1","","..","","6.2","","6.7","","6.7","","5.9","","..","","5.0","","..","","..",""
"15","United Kingdom","4.1","","4.8","","4.1","","5.0","","5.8","","5.7","","..","","5.6","","5.7","","5.6","","5.5","","..","","..",""
"15","United States","..","","..","","..","","..","","5.4","","5.2","","5.2","","4.9","","5.0","","..","","..","","..","","..",""
"57","Uruguay","..","","2.5","","2.4","","2.7","","..","","4.4","","..","","..","","..","","..","","..","","..","","..",""
"108","Uzbekistan","..","","..","","..","","..","","..","","..","","..","","7.3","","7.3","","7.1","","6.9","","6.4","","..",""
"141","Vanuatu","..","","..","","7.0","","..","","..","","..","","..","","..","","4.9","","5.5","","..","","4.7","","..",""
"96","Venezuela (Bolivarian Republic of)","2.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"118","Viet Nam","..","","..","","..","","..","","5.1","","4.8","","5.5","","5.7","","..","","..","","..","","..","","..",""
"177","Yemen","..","","..","","9.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"143","Zambia","..","","1.8","","1.8","","1.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"150","Zimbabwe","12.5","","..","","..","","..","","1.8","","..","","7.3","","7.4","","7.5","","..","","..","","..","","..",""
"35","United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Algeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"144","Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"120","Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110","Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"158","Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"155","Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Suriname","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"154","Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","..","","..","","..","","..","","5.3","","5.2","","4.9","","4.9","","5.0","","..","","..","","..","","..",""
" ","High human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Medium human development","..","","..","","3.8","","..","","3.5","","3.7","","3.8","","3.8","","..","","..","","..","","..","","..",""
" ","Low human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Latin America and the Caribbean","..","","..","","4.0","","..","","5.3","","5.2","","..","","..","","5.5","","5.6","","..","","..","","..",""
" ","South Asia","..","","..","","3.9","","3.3","","3.4","","3.5","","3.4","","3.4","","..","","..","","..","","..","","..",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","4.8","","..","","..","","5.1","","5.0","","..","","..","","..","","..",""
" ","Europe and Central Asia","..","","..","","2.9","","..","","..","","..","","4.6","","..","","4.6","","4.2","","..","","..","","..",""
" ","Least Developed Countries","..","","..","","3.0","","..","","..","","2.7","","..","","3.1","","..","","..","","..","","..","","..",""
" ","Small Island Developing States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Organization for Economic Co-operation and Development","..","","4.4","","..","","..","","5.4","","5.2","","4.9","","5.0","","5.0","","..","","..","","..","","..",""
" ","World","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
""
