HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
132,Kiribati,,,,31.5,31.5,33.1,32.6,,
22,Korea (Republic of),16.7,16.5,16.5,17.4,16.4,16.3,14.3,14.3,14.2
122,Kyrgyzstan,15.1,14.5,17.1,17.2,14.5,12.3,9.8,9.8,9.5
140,Lao People's Democratic Republic,24.8,22.8,24.7,24.5,25.6,27.1,26.1,26.1,24.9
39,Latvia,11.1,11,10.9,10.6,10.8,10.6,10.4,10.4,9.1
93,Lebanon,,22.8,22.8,20.9,20.9,21,,,
164,Lesotho,34,35.9,35.9,35.6,35.6,35.6,31,31,32.5
176,Liberia,37.3,35.3,35.3,33.8,34.8,33.4,31.6,31.6,32.3
34,Lithuania,11.5,9.8,11,10.6,10.2,10.5,10.6,11.7,10.9
21,Luxembourg,9,7.8,7.2,7.6,7.8,8,9.9,10.4,9.5
162,Madagascar,29.2,30.7,30.7,30.5,27,27,25.9,25.9,25.8
172,Malawi,32.1,31.9,31.4,31.9,32.9,31.2,30.4,30.4,28.7
104,Maldives,15.6,25.2,25.2,25.4,24.9,24.6,24.3,23.4,21
184,Mali,38.3,,,,35.6,33.7,32.3,34,31.2
28,Malta,,,8.2,8.3,8.5,8.1,8.2,8.3,8
161,Mauritania,35.2,34.2,34.5,35.3,33.4,32.4,33,33,32.1
66,Mauritius,,13.3,13.3,14.2,14.2,14.4,14.1,13.5,13.6
76,Mexico,21,23.5,23.5,22.9,22.4,22.9,21.8,21.2,22.5
135,Micronesia (Federated States of),38.9,38.6,,,,,,,
107,Moldova (Republic of),13.5,12.2,11.5,12.2,10.8,10.1,10.3,10.3,10.4
92,Mongolia,15.2,13.8,15.9,11.5,12.8,13,13.7,13.7,13.6
52,Montenegro,9.9,6.9,7.4,7.2,9.2,8.8,8.5,8.9,8.6
121,Morocco,28.1,29.7,29.7,29.7,29.7,29.5,,,
180,Mozambique,45.3,28.9,32.7,29.5,34.3,33,32.7,32.7,30.7
