HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
129,India,40.6,40.6,42.4,42.1,42.1,39.4,39.4,38.7,11.9
111,Indonesia,21.4,20.4,20.4,23.2,20.8,20.8,20.8,16.5,18.2
65,Iran (Islamic Republic of),,,,37.3,37.3,37.3,,4.9,5
120,Iraq,,,33,29.8,30.6,30.6,29.8,27.2,29.7
3,Ireland,3.2,3.2,3.2,5.2,5.4,3,2.9,2.9,3.5
22,Israel,7.9,7.9,7.9,7.9,9.9,8.4,8.4,7,3.7
29,Italy,11.8,11.4,13.1,11.7,10.6,9.9,11.5,10.5,11
96,Jamaica,8.3,8.3,10.6,10.6,5.6,5.6,5.6,5.6,5.6
19,Japan,,,,19.8,19.8,19.8,19.8,,1.6
102,Jordan,25.1,22.4,22.4,22.4,16.9,16.9,16.9,16.9,15.4
50,Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2,3.2
147,Kenya,29.2,30.7,30.7,30.7,26,22.9,22.9,22.9,22.9
132,Kiribati,,,,21.4,21.4,21.4,21.4,21.4,
22,Korea (Republic of),25.5,25.5,25.5,28.1,25.5,25.5,18.5,18.5,18.5
57,Kuwait,,,,,,,17.2,17.8,22.1
122,Kyrgyzstan,11.1,11.1,6.5,6.6,5,5,5,5,5
140,Lao People's Democratic Republic,30.5,30.5,31.2,34.1,34.1,34.1,34.1,34.1,31.3
39,Latvia,3.3,3.8,3.6,3.6,3.5,3.8,3.7,3.7,2.6
93,Lebanon,,24.1,24.1,24.1,24.1,24.1,6.2,6.2,6.2
164,Lesotho,24.9,24.3,24.3,24.3,24.3,24.3,21.9,21.9,21.9
176,Liberia,46.4,46.4,46.4,46.4,46.4,42.9,42.9,42.9,42.9
34,Lithuania,4.3,4.1,5,6.1,5.9,5.6,5.4,4.5,4.3
21,Luxembourg,6.2,6.2,6.3,6,6,5.8,8.1,9.4,8
162,Madagascar,30.8,30.1,30.1,30.1,35,35,35,35,35
172,Malawi,34.7,34.7,30.2,30.2,30.2,28.2,28.4,28.4,28.4
61,Malaysia,,,,,,,,15.6,12.1
104,Maldives,11.5,41.2,41.2,41.2,40,40,40,40,29.3
184,Mali,36.9,36.9,36.9,36.9,41.6,41.6,41.6,46.2,39.2
28,Malta,,,5.5,5.7,7.3,6,6.7,6.9,6.7
117,Marshall Islands,,,,,,,,,4.3
161,Mauritania,43.2,43.2,42.1,45.9,40.8,40.8,40.8,40.8,40.8
66,Mauritius,,13.5,13.5,13.2,13.2,13.2,13.2,13.2,13.2
76,Mexico,17.9,21.9,21.9,21.4,19.7,19.7,17.1,17.1,18.5
135,Micronesia (Federated States of),22.4,22.4,,,,,,,
107,Moldova (Republic of),7.5,6.1,6.1,6.1,7.3,7.3,7.3,7.3,7.3
92,Mongolia,5.8,5.8,8.9,5.2,9.4,9.4,11.9,11.9,11.9
52,Montenegro,9.6,2.5,2.5,2.5,7.4,7.4,7.4,7.4,7.4
121,Morocco,42.7,45.8,45.8,45.8,45.8,45.8,,,
180,Mozambique,28.2,18.2,18.2,18.2,33.8,33.8,33.8,33.8,33.8
145,Myanmar,,,,19.4,19.4,19.4,26.9,26.9,26.9
130,Namibia,27.8,27.8,27.8,27.8,27.8,25,25,25,25
147,Nepal,43.3,43.6,43.6,44,41.4,43.9,43.9,40.9,40.9
10,Netherlands,4,3.9,3.9,4.1,4.1,4.2,4.6,5.3,4.9
14,New Zealand,,,,,,,2.5,1.7,6.4
126,Nicaragua,33.3,33.3,33.3,33.3,29.5,29.5,25.7,25.7,25.7
189,Niger,31.3,39.5,39.5,39.5,35,35,35,35,35
158,Nigeria,46,44.2,45.2,45.2,43.3,43.3,43.8,38.1,38.1
82,North Macedonia,17.5,17.5,12.3,10.6,10.6,10.6,10.5,10.5,10.5
1,Norway,2.4,2.2,2.2,2.4,2.3,2.4,5.3,6.1,4.4
47,Oman,,,,,,,,,9.1
152,Pakistan,46.4,46.4,45.2,45.2,44.4,44.4,44.4,46.2,43.5
55,Palau,,,,12,12,12,12,,1.9
119,"Palestine, State of",,,,6.9,16.5,16.5,13.3,14.1,11.9
67,Panama,9.9,17.8,17.8,16.3,16.6,13.6,13.1,12.5,12.5
155,Papua New Guinea,,,,11.5,11.5,11.5,11.5,11.5,11.5
98,Paraguay,19.8,19.8,,17.2,16.2,14,13.8,16.7,18.1
82,Peru,30.2,24,24.6,25.6,23.3,20.3,16.1,15.3,18.1
106,Philippines,12.9,13.5,13.5,13.5,11.6,11.6,11.6,11.6,10.1
32,Poland,7.1,6.6,6.3,5.6,5.6,5.4,5.4,4.7,5.2
